ncase,ion,energy_MeV,angle_deg,depth_um,major_axis_um,minor_axis_um,total_length_um,status
45316974,protons,3.248322,51.00300805514923,0.0,0.0,0.0,0.0,Track below surface
45352782,protons,6.866483,76.42975887099372,0.0,0.0,0.0,0.0,Track below surface
45358623,protons,1.583775,33.33655804579227,0.0,0.0,0.0,0.0,Track below surface
45451081,O,0.03540288,63.623364189522604,0.0,0.0,0.0,0.0,Angle < Critical
45464832,protons,4.330436,52.886995751121304,0.0,0.0,0.0,0.0,Track below surface
45536760,protons,0.5093517000000001,35.16240379759913,0.5914472609695274,9.353318217119302,6.83737560640104,9.353329270469512,Developed
45551576,protons,1.815237,63.931850831248454,2.5956684592885626,10.410608321681856,7.631624479694621,10.410598569041863,Developed
45621398,protons,3.4158090000000003,54.81203896395,0.0,0.0,0.0,0.0,Track below surface
45821796,O,0.1936127,29.999735362483044,0.0,8.36450698094179,0.0,5.7734411081034054e-05,Developed
46303296,protons,2.128129,61.20027591751678,1.6815070202585591,9.95531261882958,6.2580459205909245,9.955304746067782,Developed
46369475,protons,0.0010051060000000002,38.22906753712489,0.0,0.0,0.0,0.0,Energy exceeds SRIM tables
46385085,protons,0.3875999,48.67525319598865,1.214539011612441,10.558460006301155,10.101745236293015,10.558606485097199,Developed
46500206,protons,2.192819,79.96812630790008,3.434429097955018,9.212659274489386,8.832334531556914,9.212620232687756,Developed
46618892,protons,1.084256,39.927218286684074,1.5393841931421743,13.024229104825789,4.030154632043781,13.25088481885286,Developed
46639512,protons,1.466886,39.0485732112576,0.004651502364934668,0.45969863356117674,0.027489148632960266,0.46375503679540486,Developed
46788544,protons,2.343922,36.72414714646244,0.0,0.0,0.0,0.0,Track below surface
47006539,protons,3.525805,71.97248347723242,1.2001624109553735,7.043668983208002,5.407113671871873,7.0436609377469255,Developed
47024997,protons,0.7381230000000001,69.49849664311951,5.01091240895421,15.185968134263552,14.021249141834538,15.185921296231442,Developed
47356795,protons,4.383369,48.85231290188701,0.0,0.0,0.0,0.0,Track below surface
47413552,protons,2.965258,85.33623002108313,2.561431026808103,7.85296244531819,7.763775798583269,7.8527824355461675,Developed
47531192,protons,2.573662,52.90076664823808,0.0,0.0,0.0,0.0,Track below surface
47554194,protons,2.02292,48.92306810947023,0.0,0.0,0.0,0.0,Track below surface
47564341,protons,2.361158,56.99773113109588,0.7368359148642512,9.765073881273214,4.092821105163048,9.765069375045648,Developed
47724704,protons,6.3617300000000006,67.67966706591491,0.0,0.0,0.0,0.0,Track below surface
48294049,protons,0.28337700000000005,40.845837314711105,0.4875908549509109,7.194689369823394,6.758012268462486,7.19470148066626,Developed
48357169,protons,1.545721,57.62428911320459,2.380804640147778,11.492859062074926,6.993531146835418,11.492855213153351,Developed
48480597,protons,1.782795,34.556872805213295,0.0,0.0,0.0,0.0,Track below surface
48591933,protons,1.0420010000000002,63.46851073542592,6.721789822233573,13.547048430621855,10.897917086867597,13.547025055247467,Developed
48674021,protons,3.9411660000000004,77.48703347934654,1.1803070757704504,6.201462742791879,5.384697481180396,6.201451132057224,Developed
48794107,protons,0.7280531,41.005008554466606,1.5988648461237904,14.026153694527537,9.157511159793827,14.026320894803515,Developed
49155489,protons,6.125261,67.63987264537798,0.0,0.0,0.0,0.0,Track below surface
49250655,protons,3.423704,69.41375900822604,1.0822353472915616,7.2913510525515655,5.12246279075008,7.291348787327494,Developed
49513022,protons,2.552866,47.93438060048833,0.0,0.0,0.0,0.0,Track below surface
49521122,protons,5.957205999999999,80.08823439691326,0.15388850871154425,3.0493079839510053,1.9588706192781213,3.049305665368729,Developed
49594041,protons,2.533915,46.96332457941292,0.0,0.0,0.0,0.0,Track below surface
50259282,protons,3.503198,51.844133087250675,0.0,0.0,0.0,0.0,Track below surface
50729336,protons,2.3514690000000003,64.6347129942282,1.8388157289057698,9.394728107289756,6.57636118868746,9.394718363769273,Developed
