ion,energy_MeV,angle_deg,depth_um,major_axis_um,minor_axis_um,total_length_um,black_part,total_surface,status
protons,0.502020202020202,2.0454545454545454,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,6.136363636363637,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,8.181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,10.227272727272727,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,12.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,14.318181818181818,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,16.363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,18.40909090909091,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,20.454545454545453,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,22.5,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,24.545454545454547,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,26.59090909090909,0.0,0.0,0.0,0.0,0.0,0.0,Angle < Critical
protons,0.502020202020202,28.636363636363637,0.04922791960372663,3.9962456990567716,2.0411298871249692,3.996249219866365,0.0,5.557989801052537,Developed
protons,0.502020202020202,30.68181818181818,0.17951044057138787,6.711986667753443,3.8493725449370393,6.711996209122603,0.0,17.478956777351875,Developed
protons,0.502020202020202,32.72727272727273,0.3615601932774517,8.314869693062915,5.41565668722471,8.314878427936637,0.0,32.39727985313015,Developed
protons,0.502020202020202,34.77272727272727,0.5483045017002848,9.109688054945067,6.618940962277561,9.109703607357815,0.0,45.384587753728226,Developed
protons,0.502020202020202,36.81818181818182,0.7334460982505799,9.763878887325994,7.602213797535094,9.763880296065604,0.0,57.35103801860094,Developed
protons,0.502020202020202,38.86363636363636,0.9158996289460379,10.325874165368049,8.440029355873106,10.32587077700914,0.0,68.66319702372611,Developed
protons,0.502020202020202,40.90909090909091,1.0948538898667124,10.81862109054728,9.170828471431745,10.818672763190303,0.0,79.46682347807624,Developed
protons,0.502020202020202,42.95454545454545,1.2696798381940333,11.258057999785589,9.817817776161533,11.258135142117041,0.0,89.83179208687808,Developed
protons,0.502020202020202,45.0,1.4398796316578366,11.653965700365246,10.396099020020277,11.6540757214744,0.0,99.80110564795996,Developed
protons,0.502020202020202,47.04545454545455,1.6049721236433836,12.012453774273128,10.916586991188238,12.012710327960438,0.03107200254157654,109.3880573710066,Developed
protons,0.502020202020202,49.09090909090909,1.7645458170743389,12.339191543321355,11.387162419336063,12.339231689784071,0.08529066209993613,118.60140974598916,Developed
protons,0.502020202020202,51.13636363636363,1.9182587902621009,12.631204613826815,11.813959347118178,12.637659870225438,0.13760157968514314,127.43842449463799,Developed
protons,0.502020202020202,53.18181818181818,2.0658543806716665,12.90543786772706,12.201779151895444,12.911160538534165,0.18766389114168971,135.9092855749653,Developed
protons,0.502020202020202,55.22727272727273,2.2068916890838253,13.160999112603783,12.554552372291258,13.162275138159199,0.2362154751714823,143.99927745214436,Developed
protons,0.502020202020202,57.27272727272727,2.341237761188056,13.392806461807094,12.87549359539527,13.393148597433179,0.28762134004123174,151.6997204605353,Developed
protons,0.502020202020202,59.31818181818182,2.468581501652494,13.605246090566114,13.167291621495254,13.60538007579235,0.3548626000193953,159.00274878576744,Developed
protons,0.502020202020202,61.36363636363636,2.5888654834221594,13.800188611244533,13.432214749901568,13.800284460058016,0.39868117006431797,165.90463658031146,Developed
protons,0.502020202020202,63.40909090909091,2.701666769015244,13.978618663305326,13.672100315296907,13.978654773977365,0.430679506064238,172.3842391011404,Developed
protons,0.502020202020202,65.45454545454545,2.8068155685837564,14.142249518007127,13.888849236253924,14.142234790512637,0.45604691495685323,178.43363471256995,Developed
protons,0.502020202020202,67.5,2.9041937219731206,14.290719587364674,14.083646579246807,14.290703900607241,0.4767699357610529,184.04208804702893,Developed
protons,0.502020202020202,69.54545454545455,2.9931472296551096,14.424574706343465,14.257874434745856,14.424548955983406,0.4948162062041167,189.18921614698482,Developed
protons,0.502020202020202,71.5909090909091,3.0746625104172303,14.544831391638033,14.412661418723609,14.54481005946873,0.509716618495585,193.8712371148267,Developed
