       Particle         Energy              x              y              z           cosx           cosy           cosz
           1   5.7045267573890834E-003  -1.5203676173209992        2.2236214215785202      -0.55000000000000004       -7.2066822920687806E-002 -0.24451942502162682       0.96696257622578696     
           1   2.4504346317758552E-003  -1.3137303336038872        2.1569878016238886      -0.55000000000000004      -0.43515855569260009       0.10634618050897822       0.89405118494339131     
           1   1.1881833403880604E-003 -0.30496783523013249        1.3136944899397043      -0.55000000000000004       -2.1544852095276582E-002 -0.34589823516793528       0.93802464266985019     
           1   5.5173593340636096E-003  -1.8831440846866914        2.1260952680020395      -0.55000000000000004       0.31625875206688209       0.24722643855750812       0.91589272833627666     
           1   2.2495470271112206E-003 -0.86109733443602998        2.0189650528612848      -0.55000000000000004      -0.46655268748519563      -0.44687418613264474       0.76330338108030693     
           1   7.1341170689276368E-004  -1.7754614800187840        1.1048553356203816      -0.55000000000000004      -0.71987463006489327       0.12844048459816748       0.68211696863889903     
           1   2.5897016448599430E-003  -1.9287453740971932        3.4540502400752726      -0.55000000000000004      -0.56381423045686008       0.50506427713172997       0.65347041975879971     
           1   3.4642118398089394E-003  -1.6148236862533794        2.1018931671434835      -0.55000000000000004      -0.10868834110152253       0.31683042029575015       0.94223422209332719     
           1   5.7527747132292140E-003  -2.0952609319519091        3.3433267671627993      -0.55000000000000004      -0.29516618952375590       0.10170415416943358       0.95001746593770908     
           1   1.4955000708872790E-003 -0.91165434892868413        3.0369952342467887      -0.55000000000000004       0.32651229717544050       0.11334860223618660       0.93837189544674637     
           1   4.6159061521655609E-003  -1.8647451215501933        1.2516511918012903      -0.55000000000000004      -0.10484484213113965       0.31019348224163656       0.94487436342262154     
           1   2.3723448644347167E-003 -0.61903725953165345        1.3447690731351933      -0.55000000000000004       0.46334392554558751       0.41471906935743241       0.78314781502045328     
           1   5.9759967131245428E-004  -1.3964425813259165        1.6544264011450931      -0.55000000000000004      -0.31498135011122647      -0.50124523487281714       0.80594042186715253     
           1   2.5001329964103869E-003  -1.1544186793654347        2.3700437847220153      -0.55000000000000004      -0.11869605108228051        1.2132591600582670E-002  0.99285650910820233     
